day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;PEARLS;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
0;0;BANANAS;4893;9;4892;23;;;4899;23;;;;;4896.0;0.0
0;100;PEARLS;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;0.0
0;100;BANANAS;4897;1;4892;26;;;4898;22;;;;;4897.5;-17.60546875
0;200;PEARLS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
0;200;BANANAS;4892;22;;;;;4899;22;;;;;4895.5;-21.6171875
0;300;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;2.0
0;300;BANANAS;4898;1;4893;26;;;4900;26;;;;;4899.0;-69.5625
0;400;PEARLS;9998;8;9996;2;9995;26;10004;2;10005;26;;;10001.0;2.0
0;400;BANANAS;4894;8;4893;28;;;4896;5;4899;28;;;4895.0;-66.21875
0;500;PEARLS;9998;8;9996;1;9995;23;10004;1;10005;23;;;10001.0;2.0
0;500;BANANAS;4898;1;4894;8;4893;24;4899;24;;;;;4898.5;-65.375
0;600;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;2.0
0;600;BANANAS;4892;30;;;;;4899;30;;;;;4895.5;-55.9140625
0;700;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;2.0
0;700;BANANAS;4891;22;;;;;4898;23;;;;;4894.5;-40.3359375
0;800;PEARLS;9996;1;9995;24;;;10000;3;10004;1;10005;24;9998.0;2.0
0;800;BANANAS;4894;1;4891;25;;;4898;25;;;;;4896.0;-35.03125
0;900;BANANAS;4892;1;4891;20;;;4898;21;;;;;4895.0;-42.4921875
0;900;PEARLS;9996;1;9995;20;;;9998;11;10004;1;10005;20;9997.0;2.0
0;1000;PEARLS;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;24.0
0;1000;BANANAS;4891;31;;;;;4897;1;4898;30;;;4894.0;-30.234375
0;1100;BANANAS;4891;22;;;;;4896;6;4898;22;;;4893.5;-33.4296875
0;1100;PEARLS;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;24.0
0;1200;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;24.0
0;1200;BANANAS;4891;22;;;;;4898;23;;;;;4894.5;-34.8984375
0;1300;BANANAS;4890;25;;;;;4897;25;;;;;4893.5;-23.171875
0;1300;PEARLS;10002;1;9995;25;;;10005;25;;;;;10003.5;24.0
0;1400;PEARLS;9995;23;;;;;10000;6;10005;23;;;9997.5;26.0
0;1400;BANANAS;4890;23;;;;;4897;23;;;;;4893.5;-23.09375
0;1500;BANANAS;4896;1;4891;1;4890;20;4897;21;;;;;4896.5;-23.75
0;1500;PEARLS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;26.0
0;1600;PEARLS;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;34.0
0;1600;BANANAS;4891;30;;;;;4897;30;;;;;4894.0;-24.78125
0;1700;BANANAS;4890;28;;;;;4892;2;4897;28;;;4891.0;-22.1640625
0;1700;PEARLS;9995;28;;;;;10005;28;;;;;10000.0;34.0
0;1800;PEARLS;10000;4;9995;23;;;10002;10;10005;23;;;10001.0;34.0
0;1800;BANANAS;4890;23;;;;;4895;10;4897;23;;;4892.5;-21.375
0;1900;BANANAS;4890;32;;;;;4891;1;4897;32;;;4890.5;-15.390625
0;1900;PEARLS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;34.0
0;2000;PEARLS;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;34.0
0;2000;BANANAS;4890;23;;;;;4896;2;4897;21;;;4893.0;-10.921875
0;2100;BANANAS;4890;28;;;;;4896;2;4897;26;;;4893.0;-7.5234375
0;2100;PEARLS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;34.0
0;2200;PEARLS;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;34.0
0;2200;BANANAS;4890;1;4889;20;;;4896;21;;;;;4893.0;-3.625
0;2300;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;42.0
0;2300;BANANAS;4890;2;4889;22;;;4892;1;4896;24;;;4891.0;-1.671875
0;2400;PEARLS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;42.0
0;2400;BANANAS;4890;2;4889;20;;;4896;22;;;;;4893.0;-1.9765625
0;2500;PEARLS;9998;3;9996;2;9995;21;10004;2;10005;21;;;10001.0;42.0
0;2500;BANANAS;4891;3;4890;23;;;4896;2;4897;21;;;4893.5;-9.328125
0;2600;PEARLS;10002;1;9996;1;9995;29;10004;1;10005;29;;;10003.0;42.0
0;2600;BANANAS;4890;1;4889;29;;;4894;4;4896;30;;;4892.0;-2.078125
0;2700;PEARLS;9998;7;9996;2;9995;21;10004;2;10005;21;;;10001.0;44.0
0;2700;BANANAS;4890;9;4889;21;;;4896;23;;;;;4893.0;-1.8125
0;2800;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;44.0
0;2800;BANANAS;4890;27;;;;;4897;27;;;;;4893.5;-12.1328125
0;2900;PEARLS;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;44.0
0;2900;BANANAS;4891;22;;;;;4897;22;;;;;4894.0;-24.9140625
0;3000;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;44.0
0;3000;BANANAS;4896;1;4891;30;;;4897;30;;;;;4896.5;-25.734375
0;3100;PEARLS;9998;5;9996;1;9995;27;10004;1;10005;27;;;10001.0;44.0
0;3100;BANANAS;4892;6;4891;28;;;4897;1;4898;27;;;4894.5;-27.328125
